אודם,1
אל רום,1
בוקעתא,1
מג'דל שמס,1
מסעדה,1
נווה אטי''ב,1
נמרוד,1
עין קנייא,1
אבני איתן,2
אזור תעשייה בני יהודה,2
אלי עד,2
אפיק,2
בני יהודה,2
גבעת יואב,2
גשור,2
חמת גדר,2
חספין,2
כפר חרוב,2
מבוא חמה,2
מיצר,2
נאות גולן,2
נוב,2
נטור,2
רמת מגשימים,2
אורטל,3
אלוני הבשן,3
יונתן,3
מרום גולן,3
עין זיוון,3
קשת,3
א סלבה,7
אניעם,7
חד נס,7
כנף,7
מעלה גמלא,7
קדמת צבי,7
קלע,7
קצרין,7
שעל,7
האון,10
מסדה,10
מעגן,10
עין גב,10
רמות,10
שער הגולן,10
תל קציר,10
בצת,14
כפר ראש הנקרה,14
לימן,14
מצובה,14
שלומי,14
א נוואקיר,15
אדמית,15
אידמית,15
אילון,15
ג'ורדיח,15
גורן,15
גורנות הגליל,15
חניתה,15
יערה,15
עראמשה,15
אבן מנחם,16
זרעית,16
שומרה,16
שתולה,16
אבירים,17
אלקוש,17
נטועה,17
פסוטה,17
דוב''ב,19
מתת,19
סאסא,19
חורפיש,20
פקיעין,20
פקיעין חדשה,20
צבעון,20
צוריאל,20
אביבים,22
ברעם,22
יראון,22
ג'יש,23
דלתון,23
כרם בן זמרה,23
עלמה,23
ריחאנייה,23
דישון,24
יפתח,24
מלכיה,24
מרכז כ''ח,24
רמות נפתלי,24
גונן,25
כפר בלום,25
כפר סאלד,25
להבות הבשן,25
נאות מרדכי,25
עמיר,25
שדה נחמיה,25
שמיר,25
בית הלל,26
יובל,26
כפר גלעדי,26
מטולה,26
מנרה,26
מעיין ברוך,26
מרגליות,26
משגב עם,26
קרית שמונה,26
תל חי,26
דן,28
דפנה,28
הגושרים,28
ע'ג'ר,28
שאר ישוב,28
שניר,28
גשר הזיו,29
נהריה,29
סער,29
עברון,29
שבי ציון,29
בן עמי,30
כברי,30
געתון,31
יחיעם,31
מנות,31
נווה זיו,31
עבדון,31
עין יעקב,31
הילה,32
חוסן,32
כפר ורדים,32
מעונה,32
מעיליא,32
מעלות תרשיחא,32
לוחמי הגיטאות,35
מזרעה,35
רגבה,35
בוסתן הגליל,37
בית העמק,37
ג'דידה מכר,37
כפר מסריק,37
נס עמים,37
נתיב השיירה,37
עין המפרץ,37
עכו,37
שייח' דנון,37
שמרת,37
אשרת,38
ג'וליס,38
גיתה,38
טל אל,38
ירכא,38
כליל,38
כפר יאסיף,38
לפידות,38
עמקה,38
כישור,40
פלך,40
תובל,40
יאנוח ג'ת,41
כיסרא סומיע,41
מגדל תפן,41
ביענה,42
גילון,42
דייר אל אסד,42
כרמיאל,42
לבון,42
מג'ד אל כרום,42
נחף,42
סאג'ור,42
עין אל אסד,42
צורית,42
קובסי,42
ראמה,42
שגור,42
שזור,42
בית ג'ן,43
חלוץ,43
חרשים,43
אור הגנוז,44
אמירים,44
בר יוחאי,44
חמדת ימים,44
כפר שמאי,44
מירון,44
מרכז אזורי מרום הגליל,44
עין כמונים,44
פרוד,44
קדיתא,44
שפר,44
ספסופה,46
איילת השחר,47
גדות,47
חולתה,47
יסוד המעלה,47
משמר הירדן,47
עמוקה,47
שדה אליעזר,47
ביריה,49
צפת,49
אליפלט,50
אלמגור,50
אמנון,50
ורד הגליל,50
חצור הגלילית,50
טובא זנגריה,50
כורזים,50
כפר הנשיא,50
כפר נחום,50
כרי דשא,50
כרכום,50
מחניים,50
עמיעד,50
ראש פינה,50
ארבל,55
גינוסר,55
חוקוק,55
חמאם,55
כחל,55
כפר זיתים,55
כפר חיטים,55
לבנים,55
מגדל,55
רביד,55
טבריה,56
מצפה,56
בועיינה נוג'יידאת,57
טפחות,57
כלנית,57
כפר חנניה,57
מגאר,57
מסד,57
מצפה נטופה,57
עיילבון,57
עינבר,57
קדרים,57
אבטליון,60
אשבל,60
אשחר,60
דייר חנא,60
הררית,60
חוג'ייראת,60
חוסנייה,60
חזון,60
יחד,60
כמאנה,60
כמון,60
לוטם,60
מורן,60
מכמנים,60
סח'נין,60
סלמה,60
עראבה,60
ערב אזונר,60
צביה,60
ראס אל עין,60
תרדיון,60
בית רימון,61
עוזייר,61
